Thread  	Address                 	Instruction                     	Result                                  	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	Memory layout changed: 985 segments	Memory layout changed: 985 segments     	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 01                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 02                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 03                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 04                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 05                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 06                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 07                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 08                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 07                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 08                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 09                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0A                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0B                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0C                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0D                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 0C                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0D                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0E                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0F                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 0E                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 0F                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 10                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 11                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 12                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 13                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 14                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 13                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 14                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 15                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 16                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 17                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 18                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 17                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 18                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 19                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1A                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1B                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1C                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1D                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1E                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 1D                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1E                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 1F                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 20                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 1F                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 20                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 21                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 22                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 23                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 24                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 25                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 24                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 25                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 26                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 27                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 28                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 29                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2A                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 29                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2A                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2B                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 2A                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2B                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2C                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2D                   	
00006F5C	.text:std::list<DFCMessageServer::Connection>::_Incsize(uint)+7D	mov     ecx, [esp+54h+var_C]    	debug441:1293AA10: 2E                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 2D                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 2C                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 2B                   	
00006F5C	.text:ClientUnitBehavior::OnUpdateApplied(UnitMoverUpdate const &):loc_518DE6	pop     esi                     	debug441:1293AA10: 2A                   	
